"Springfield, Massachusetts",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Massachusetts","https://en.wikipedia.org/wiki/Springfield,_Massachusetts",,
"Springfield, Michigan",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Michigan","https://en.wikipedia.org/wiki/Springfield,_Michigan",42.3236122131,-85.2308349609
"Springfield, Minnesota",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Minnesota","https://en.wikipedia.org/wiki/Springfield,_Minnesota",44.2394447327,-94.9786148071
"Springfield, Missouri",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Missouri","https://en.wikipedia.org/wiki/Springfield,_Missouri",37.1949996948,-93.2861099243
"Springfield, Nebraska",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Nebraska","https://en.wikipedia.org/wiki/Springfield,_Nebraska",41.0822219849,-96.1324996948
"Springfield, New Hampshire",Springfield,"https://en.wikipedia.org/wiki/Springfield,_New_Hampshire","https://en.wikipedia.org/wiki/Springfield,_New_Hampshire",43.4952774048,-72.0341644287
"Springfield, New York",Springfield,"https://en.wikipedia.org/wiki/Springfield,_New_York","https://en.wikipedia.org/wiki/Springfield,_New_York",42.8361129761,-74.8536148071
"Springfield, New Jersey (Burlington County)",Springfield,"https://en.wikipedia.org/wiki/Springfield_Township,_Burlington_County,_New_Jersey","https://en.wikipedia.org/wiki/Springfield_Township,_Burlington_County,_New_Jersey",40.0335655212,-74.7065963745
"Springfield, New Jersey (Union County)",Springfield,"https://en.wikipedia.org/wiki/Springfield_Township,_Union_County,_New_Jersey","https://en.wikipedia.org/wiki/Springfield_Township,_Union_County,_New_Jersey",40.6978988647,-74.3345184326
"Springfield, Ohio",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Ohio","https://en.wikipedia.org/wiki/Springfield,_Ohio",39.9269447327,-83.8041687012
"Springfield, Oregon",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Oregon","https://en.wikipedia.org/wiki/Springfield,_Oregon",44.0530548096,-122.9911117554
"Springfield, South Carolina",Springfield,"https://en.wikipedia.org/wiki/Springfield,_South_Carolina","https://en.wikipedia.org/wiki/Springfield,_South_Carolina",33.4958343506,-81.2791671753
"Springfield, South Dakota",Springfield,"https://en.wikipedia.org/wiki/Springfield,_South_Dakota","https://en.wikipedia.org/wiki/Springfield,_South_Dakota",42.8547210693,-97.8947219849
"Springfield, Tennessee",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Tennessee","https://en.wikipedia.org/wiki/Springfield,_Tennessee",36.4994430542,-86.8786087036
"Springfield, Vermont",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Vermont","https://en.wikipedia.org/wiki/Springfield,_Vermont",43.2999992371,-72.4833297729
"Springfield, Virginia",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Virginia","https://en.wikipedia.org/wiki/Springfield,_Virginia",,
"Springfield, West Virginia",Springfield,"https://en.wikipedia.org/wiki/Springfield,_West_Virginia","https://en.wikipedia.org/wiki/Springfield,_West_Virginia",39.450553894,-78.693611145
"Springfield, Wisconsin (Jackson County)",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Jackson_County,_Wisconsin","https://en.wikipedia.org/wiki/Springfield,_Jackson_County,_Wisconsin",44.2888870239,-91.1083297729
"Springfield, Wisconsin (Marquette County)",Springfield,"https://en.wikipedia.org/wiki/Springfield,_Marquette_County,_Wisconsin","https://en.wikipedia.org/wiki/Springfield,_Marquette_County,_Wisconsin",43.9469451904,-89.5325012207
"Springfield, Wisconsin (St. Croix County)",Springfield,"https://en.wikipedia.org/wiki/Springfield,_St._Croix_County,_Wisconsin","https://en.wikipedia.org/wiki/Springfield,_St._Croix_County,_Wisconsin",44.9808349609,-92.1863861084
