"Springfield, West Virginia","https://en.wikipedia.org/wiki/Springfield,_West_Virginia",CDP
"Springfield, Dane County, Wisconsin","https://en.wikipedia.org/wiki/Springfield,_Dane_County,_Wisconsin",town
"Springfield, Wisconsin (Jackson County)","https://en.wikipedia.org/wiki/Springfield,_Jackson_County,_Wisconsin",town[4]
"Springfield, Wisconsin (Marquette County)","https://en.wikipedia.org/wiki/Springfield,_Marquette_County,_Wisconsin",town
"Springfield, Wisconsin (St. Croix County)","https://en.wikipedia.org/wiki/Springfield,_St._Croix_County,_Wisconsin",town
"Springfield, Walworth County, Wisconsin","https://en.wikipedia.org/wiki/Springfield,_Walworth_County,_Wisconsin",town
"Franklin, Alabama","https://en.wikipedia.org/wiki/Franklin,_Alabama",town
"Franklin, Arkansas","https://en.wikipedia.org/wiki/Franklin,_Arkansas",town
"Franklin, Connecticut","https://en.wikipedia.org/wiki/Franklin,_Connecticut",town
"Franklin, Georgia","https://en.wikipedia.org/wiki/Franklin,_Georgia",city
"Franklin, Idaho","https://en.wikipedia.org/wiki/Franklin,_Idaho",city
"Franklin, Illinois","https://en.wikipedia.org/wiki/Franklin,_Illinois",village
"Franklin, Indiana","https://en.wikipedia.org/wiki/Franklin,_Indiana",city
"Franklin, Iowa","https://en.wikipedia.org/wiki/Franklin,_Iowa",city
"Franklin, Kansas","https://en.wikipedia.org/wiki/Franklin,_Kansas",town
"Franklin, Kentucky","https://en.wikipedia.org/wiki/Franklin,_Kentucky",city
"Franklin, Louisiana","https://en.wikipedia.org/wiki/Franklin,_Louisiana",town
"Franklin, Maine","https://en.wikipedia.org/wiki/Franklin,_Maine",town
"Franklin, Massachusetts","https://en.wikipedia.org/wiki/Franklin,_Massachusetts",city
"Franklin, Michigan","https://en.wikipedia.org/wiki/Franklin,_Michigan",village
"Franklin, Minnesota","https://en.wikipedia.org/wiki/Franklin,_Minnesota",city
"Franklin, Missouri","https://en.wikipedia.org/wiki/Franklin,_Missouri",city
"Franklin, Nebraska","https://en.wikipedia.org/wiki/Franklin,_Nebraska",city
"Franklin, New Hampshire","https://en.wikipedia.org/wiki/Franklin,_New_Hampshire",city
"Franklin, New Jersey","https://en.wikipedia.org/wiki/Franklin,_New_Jersey",borough
"Franklin, Delaware County, New York","https://en.wikipedia.org/wiki/Franklin_(village),_New_York",village
"Franklin, Franklin County, New York","https://en.wikipedia.org/wiki/Franklin,_Franklin_County,_New_York",town
"Franklin County, Ohio","https://en.wikipedia.org/wiki/Franklin_County,_Ohio",county
"Franklin, North Carolina","https://en.wikipedia.org/wiki/Franklin,_North_Carolina",town
"Franklin, Ohio","https://en.wikipedia.org/wiki/Franklin,_Ohio",city
"Franklin, Cambria County, Pennsylvania","https://en.wikipedia.org/wiki/Franklin,_Cambria_County,_Pennsylvania",borough
"Franklin, Venango County, Pennsylvania","https://en.wikipedia.org/wiki/Franklin,_Pennsylvania",city
"Franklin, Tennessee","https://en.wikipedia.org/wiki/Franklin,_Tennessee",city
"Franklin, Texas","https://en.wikipedia.org/wiki/Franklin,_Texas",city
"Franklin, Vermont","https://en.wikipedia.org/wiki/Franklin,_Vermont",town
"Franklin, Virginia","https://en.wikipedia.org/wiki/Franklin,_Virginia",city
"Franklin, West Virginia","https://en.wikipedia.org/wiki/Franklin,_West_Virginia",town
"Franklin, Milwaukee County, Wisconsin","https://en.wikipedia.org/wiki/Franklin,_Milwaukee_County,_Wisconsin",city
"Greenville, Alabama","https://en.wikipedia.org/wiki/Greenville,_Alabama",city
"Greenville, California","https://en.wikipedia.org/wiki/Greenville,_California",CDP
"Greenville, Delaware","https://en.wikipedia.org/wiki/Greenville,_Delaware",CDP
"Greenville, Florida","https://en.wikipedia.org/wiki/Greenville,_Florida",town
"Greenville, Georgia","https://en.wikipedia.org/wiki/Greenville,_Georgia",city
"Greenville, Illinois","https://en.wikipedia.org/wiki/Greenville,_Illinois",city
"Greenville, Indiana","https://en.wikipedia.org/wiki/Greenville,_Indiana",town
"Greenville, Iowa","https://en.wikipedia.org/wiki/Greenville,_Iowa",city
"Greenville, Kentucky","https://en.wikipedia.org/wiki/Greenville,_Kentucky",city
"Greenville, Maine","https://en.wikipedia.org/wiki/Greenville,_Maine",town
"Greenville, Massachusetts","https://en.wikipedia.org/wiki/Greenville,_Massachusetts",city
"Greenville, Michigan","https://en.wikipedia.org/wiki/Greenville,_Michigan",city
"Greenville, Mississippi","https://en.wikipedia.org/wiki/Greenville,_Mississippi",city
"Greenville, Missouri","https://en.wikipedia.org/wiki/Greenville,_Missouri",city
"Greenville, New Hampshire","https://en.wikipedia.org/wiki/Greenville,_New_Hampshire",town
"Greenville, New Jersey","https://en.wikipedia.org/wiki/Greenville,_New_Jersey",former township
"Greenville, Orange County, New York","https://en.wikipedia.org/wiki/Greenville,_Orange_County,_New_York",town
"Greenville, Westchester County, New York","https://en.wikipedia.org/wiki/Greenville,_Westchester_County,_New_York",CDP
"Greenville, Ohio","https://en.wikipedia.org/wiki/Greenville,_Ohio",city
"Greenville, Pennsylvania","https://en.wikipedia.org/wiki/Greenville,_Pennsylvania",borough
"Greenville, Rhode Island","https://en.wikipedia.org/wiki/Greenville,_Rhode_Island",CDP
"Greenville, South Carolina","https://en.wikipedia.org/wiki/Greenville,_South_Carolina",city
"Greenville, Texas","https://en.wikipedia.org/wiki/Greenville,_Texas",city
"Greenville, Utah","https://en.wikipedia.org/wiki/Greenville,_Utah",town
"Greenville, Virginia","https://en.wikipedia.org/wiki/Greenville,_Virginia",CDP
"Greenville, Logan County, West Virginia","https://en.wikipedia.org/wiki/Greenville,_Logan_County,_West_Virginia",CDP
"Greenville, Monroe County, West Virginia","https://en.wikipedia.org/wiki/Greenville,_Monroe_County,_West_Virginia",CDP
"Greenville, Wisconsin","https://en.wikipedia.org/wiki/Greenville,_Wisconsin",CDP
"Bristol, Colorado","https://en.wikipedia.org/wiki/Bristol,_Colorado",Unincorporated community
"Bristol, Connecticut","https://en.wikipedia.org/wiki/Bristol,_Connecticut",City
"Bristol, Florida","https://en.wikipedia.org/wiki/Bristol,_Florida",City
"Bristol, Georgia","https://en.wikipedia.org/wiki/Bristol,_Georgia",City
"Bristol, Illinois","https://en.wikipedia.org/wiki/Bristol,_Illinois",Unincorporated community
"Bristol, Indiana","https://en.wikipedia.org/wiki/Bristol,_Indiana",Town
"Bristol, Louisiana","https://en.wikipedia.org/wiki/Bristol,_Louisiana",Populated place
"Bristol, Maryland","https://en.wikipedia.org/wiki/Bristol,_Maryland",Unincorporated community
"Bristol, Maine","https://en.wikipedia.org/wiki/Bristol,_Maine",Town
"Bristol, Michigan","https://en.wikipedia.org/wiki/Bristol,_Michigan",Unincorporated community
"Bristol, Nevada","https://en.wikipedia.org/wiki/Bristol,_Nevada",Ghost town
"Bristol, New Hampshire","https://en.wikipedia.org/wiki/Bristol,_New_Hampshire",Town
"Bristol, New York","https://en.wikipedia.org/wiki/Bristol,_New_York",Town
"Bristol, Ohio","https://en.wikipedia.org/wiki/Bristol,_Ohio",Unincorporated community
"Bristol, Pennsylvania","https://en.wikipedia.org/wiki/Bristol,_Pennsylvania",Borough
"Bristol Township, Pennsylvania","https://en.wikipedia.org/wiki/Bristol_Township,_Pennsylvania",Township
"Bristol, Rhode Island","https://en.wikipedia.org/wiki/Bristol,_Rhode_Island",Town
"Bristol, South Dakota","https://en.wikipedia.org/wiki/Bristol,_South_Dakota",City
"Bristol, Tennessee","https://en.wikipedia.org/wiki/Bristol,_Tennessee",City
"Bristol, Texas","https://en.wikipedia.org/wiki/Bristol,_Texas",Community
"Bristol, Vermont","https://en.wikipedia.org/wiki/Bristol,_Vermont",Town
"Bristol, Virginia","https://en.wikipedia.org/wiki/Bristol,_Virginia",City
"Bristol, Washington","https://en.wikipedia.org/wiki/Bristol,_Washington",Community
"Bristol, Dane County, Wisconsin","https://en.wikipedia.org/wiki/Bristol,_Dane_County,_Wisconsin",Town
"Bristol, Kenosha County, Wisconsin","https://en.wikipedia.org/wiki/Bristol,_Kenosha_County,_Wisconsin",Town
"Bristol, West Virginia","https://en.wikipedia.org/wiki/Bristol,_West_Virginia",Town
"Clinton, Arkansas","https://en.wikipedia.org/wiki/Clinton,_Arkansas",city
"Clinton, Connecticut","https://en.wikipedia.org/wiki/Clinton,_Connecticut",town
"Clinton, Illinois","https://en.wikipedia.org/wiki/Clinton,_Illinois",city
"Clinton, Indiana","https://en.wikipedia.org/wiki/Clinton,_Indiana",city
"Clinton, Iowa","https://en.wikipedia.org/wiki/Clinton,_Iowa",city
"Clinton, Kentucky","https://en.wikipedia.org/wiki/Clinton,_Kentucky",city
"Clinton, Louisiana","https://en.wikipedia.org/wiki/Clinton,_Louisiana",town
"Clinton, Maine","https://en.wikipedia.org/wiki/Clinton,_Maine",town
"Clinton, Maryland","https://en.wikipedia.org/wiki/Clinton,_Maryland",CDP
"Clinton, Massachusetts","https://en.wikipedia.org/wiki/Clinton,_Massachusetts",town
