0.31,0.22,0.47,58th,3601,47926,5340,0.1352082004,0.3494956578,0.075136669,0.6743445693
0.31,0.22,0.47,59th,3564,46786,5340,0.136745578,0.3486487051,0.076176634,0.6674157303
0.31,0.22,0.47,5th,5193,106047,5340,0.0932424789,0.3716022252,0.0489688534,0.9724719101
0.31,0.22,0.47,60th,3546,46214,5340,0.1375644955,0.3483365953,0.0767299952,0.6640449438
0.31,0.22,0.47,61th,3508,44794,5340,0.1399449475,0.347581358,0.0783140599,0.656928839
0.31,0.22,0.47,62th,3478,43765,5340,0.1416556359,0.3469637588,0.079469896,0.6513108614
0.31,0.22,0.47,63th,3427,42822,5340,0.1423113658,0.3457414231,0.0800289571,0.6417602996
0.31,0.22,0.47,64th,3392,41727,5340,0.1441349566,0.3449871576,0.0812902917,0.6352059925
0.31,0.22,0.47,65th,3345,40651,5340,0.1454632428,0.3437208833,0.0822857986,0.6264044944
0.31,0.22,0.47,66th,3294,39198,5340,0.1479186313,0.3426258978,0.0840348997,0.6168539326
0.31,0.22,0.47,67th,3251,37807,5340,0.1506941386,0.3416098924,0.085989367,0.6088014981
0.31,0.22,0.47,68th,3251,37807,5340,0.1506941386,0.3416098924,0.085989367,0.6088014981
0.31,0.22,0.47,69th,3174,36385,5340,0.1521390054,0.3394340408,0.0872337502,0.5943820225
0.31,0.22,0.47,6th,5131,103450,5340,0.0943285228,0.3709679529,0.04959884,0.9608614232
0.31,0.22,0.47,70th,3152,35679,5340,0.1536848777,0.3389424677,0.0883432832,0.5902621723
0.31,0.22,0.47,71th,3048,33339,5340,0.1576049019,0.3359482195,0.0914244578,0.5707865169
0.31,0.22,0.47,72th,3032,32908,5340,0.1585442376,0.3355021253,0.0921356509,0.5677902622
0.31,0.22,0.47,73th,3003,32229,5340,0.1598658468,0.3346460526,0.0931769524,0.5623595506
0.31,0.22,0.47,74th,2943,30664,5340,0.1634818354,0.3329686107,0.095975737,0.5511235955
0.31,0.22,0.47,75th,2942,30432,5340,0.1644861903,0.3329452024,0.0966745531,0.5509363296
0.31,0.22,0.47,76th,2861,28974,5340,0.1667540945,0.330187043,0.0987437012,0.5357677903
0.31,0.22,0.47,77th,2757,27089,5340,0.1700329952,0.3266706795,0.1017756285,0.5162921348
0.31,0.22,0.47,78th,2715,26178,5340,0.1722825052,0.3252153558,0.1037130415,0.5084269663
0.31,0.22,0.47,79th,2666,25197,5340,0.1746078528,0.3233614232,0.1058062468,0.4992509363
0.31,0.22,0.47,7th,5106,102577,5340,0.0946282791,0.3706984622,0.0497772405,0.9561797753
0.31,0.22,0.47,80th,2652,25034,5340,0.1746230329,0.3229244694,0.1059359271,0.4966292135
0.31,0.22,0.47,81th,2576,23273,5340,0.1800580156,0.320190387,0.1106862029,0.4823970037
0.31,0.22,0.47,82th,2500,22153,5340,0.1818644746,0.3169506866,0.1128515325,0.468164794
0.31,0.22,0.47,83th,2409,20828,5340,0.1841180067,0.3128870162,0.1156616094,0.4511235955
0.31,0.22,0.47,84th,2370,20105,5340,0.1862841423,0.3111860175,0.1178811241,0.4438202247
0.31,0.22,0.47,85th,2307,19213,5340,0.1879200098,0.308386392,0.1200749493,0.4320224719
0.31,0.22,0.47,86th,2208,17804,5340,0.1908053923,0.303767166,0.1240170748,0.4134831461
0.31,0.22,0.47,87th,2171,16791,5340,0.196195382,0.3020287141,0.1292954559,0.4065543071
0.31,0.22,0.47,88th,2122,16080,5340,0.1981325864,0.2990636704,0.1319651741,0.3973782772
0.31,0.22,0.47,89th,1964,14174,5340,0.2012913805,0.2897003745,0.1385635671,0.3677902622
0.31,0.22,0.47,8th,5091,101888,5340,0.0949565412,0.370575484,0.04996663,0.9533707865
0.31,0.22,0.47,90th,1920,13640,5340,0.2023182297,0.2869538077,0.1407624633,0.3595505618
0.31,0.22,0.47,91th,1813,12003,5340,0.2090757078,0.2804307116,0.1510455719,0.3395131086
0.31,0.22,0.47,92th,1795,11492,5340,0.2132842205,0.2793071161,0.1561956143,0.3361423221
0.31,0.22,0.47,93th,1733,10803,5340,0.2147060645,0.2748751561,0.1604184023,0.3245318352
0.31,0.22,0.47,94th,1653,9930,5340,0.216502947,0.2677902622,0.1664652568,0.3095505618
0.31,0.22,0.47,95th,1467,8080,5340,0.2186289121,0.2503745318,0.1815594059,0.2747191011
0.31,0.22,0.47,96th,1266,6154,5340,0.2202888464,0.2315543071,0.205719857,0.2370786517
0.31,0.22,0.47,97th,1207,5343,5340,0.2259664888,0.2260299625,0.2259030507,0.2260299625
0.31,0.22,0.47,98th,1207,5343,5340,0.2259664888,0.2260299625,0.2259030507,0.2260299625
0.31,0.22,0.47,99th,1207,5343,5340,0.2259664888,0.2260299625,0.2259030507,0.2260299625
0.31,0.22,0.47,9th,5080,101377,5340,0.0952050751,0.3704829613,0.0501099855,0.9513108614
