DBpedia Spotlight,,,,,,
387,5913,5340,0.0687816582,0.0536634355,0.0654490107,0.0724719101
Open Calais,,,,,,
771,7289,5340,0.1220999287,0.1108476012,0.1057758266,0.1443820225
TextRazor,,,,,,
805,11954,5340,0.0930958714,0.0760386952,0.0673414757,0.1507490637
